# 给 NPC 加上 AI ，真的能让游戏更好玩吗？
# BV: BV1sAVr6bEiN | UP: 插眼GameWard | 时长: 1164s | 语种(ASR判定): zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: 2026 年，AI 几乎无所不能。对于所有的游戏开发者来说，第一想法就是：只要把大语言模型塞进 NPC 的脑子里，NPC 不就足够聪明了吗？人人都觉得游戏 NPC 的革命即将到来，我其实也是这么想的。但没想到，实际效果并不理想。

为什么 AI 并没有让游戏变好玩？为了搞明白这件事，我几乎查遍了电子游戏史，终于拼凑出了关于游戏 NPC、人工智能、以及游戏行业是怎么用四十多年时间，造出了「陪伴」这个错觉的完整图景。

[00:00:01 -> 00:00:02] 我才32岁
[00:00:02 -> 00:00:04] 但是已经打了25年游戏了
[00:00:04 -> 00:00:09] 第一次摸到鼠标
[00:00:09 -> 00:00:12] 就迫不及待打开了经常能在电视上看到的CS1.5
[00:00:12 -> 00:00:14] 后面一路玩了很多游戏
[00:00:14 -> 00:00:16] 从红警
[00:00:16 -> 00:00:17] DOTA
[00:00:17 -> 00:00:18] 到魔兽世界
[00:00:18 -> 00:00:20] 到了今天哪怕只用手机
[00:00:20 -> 00:00:22] 我也会偶尔玩几局和拼精英
[00:00:22 -> 00:00:25] 我最喜欢的就是大家能一起玩的游戏
[00:00:25 -> 00:00:27] 但毕竟已经中年
[00:00:27 -> 00:00:30] 和朋友一起玩的机会越来越少
[00:00:30 -> 00:00:32] 游戏里灰色的头像越来越多
[00:00:32 -> 00:00:34] 但我发现
[00:00:34 -> 00:00:36] 无论有没有朋友在线
[00:00:36 -> 00:00:38] 我从来不是真正的一个人在玩
[00:00:38 -> 00:00:40] 因为有他们
[00:00:40 -> 00:00:50] 我玩过的游戏里
[00:00:50 -> 00:00:53] 几乎都有让我印象深刻的NPC
[00:00:53 -> 00:00:55] 班求命2里的Alex
[00:00:55 -> 00:00:57] 生化骑兵无限里的Elizabeth
[00:00:57 -> 00:00:59] 还有最后生还者的艾莉
[00:00:59 -> 00:01:02] 即使在那个AI远没今天聪明的年代
[00:01:02 -> 00:01:04] 他们都让我觉得像真的
[00:01:04 -> 00:01:06] 直到今年
[00:01:06 -> 00:01:08] 事情好像发生了神奇的改变
[00:01:08 -> 00:01:10] 这个队友言听计从的开黑队友
[00:01:10 -> 00:01:13] 几乎已经脱去了过去的NPC给人的感觉
