# 【十字路口】97后CEO：别卷语言模型了，3D才是蓝海【视频播客】
# BV: BV1pi4gzXEdh | UP: Koji杨远骋at十字路口 | 时长: 5029s | 语种: zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: 在文生图、文生视频的浪潮之外，下一个引爆我们想象力的 AI 技术奇点在哪里？答案可能是 AI + 3D。

本周，我们邀请国内 3D 大模型公司 VAST 的创始人和 CEO 宋亚宸（Simon），和我们聊聊 VAST 最新 3D 生成大模型 Tripo 3.0 背后的故事。

这位 97 年的创业者短期内连续融资三轮、每轮数千万美金，积攒了足够的子弹，在闷头苦干一年后，Simon 今年首次上播客，和我们探讨了几个关键的战略问题：
他认为大语言模型已经“撞墙”，进化放缓，这才给了应用和 Agent 繁荣发展的空间。而 3D 大模型则完全不同，它才刚刚起步，仍是一片蓝海。
在资源有限的初创阶段，为什么 VAST 「既要又要」？既要研发大模型，又要自己下场开发应用 Tripo Studio？
为什么科技的终极形态，是一场“解压缩”？人类的媒介史（文字->图片->视频->3D）不是升维，而是因为

[00:00:00 -> 00:00:01] 但我比较想知道的就是
[00:00:01 -> 00:00:02] 因为从我们的角度
[00:00:02 -> 00:00:03] Vast的角度
[00:00:03 -> 00:00:04] 你们本来就是金融公司
[00:00:04 -> 00:00:06] 你们其实淹没的是那些应用
[00:00:06 -> 00:00:07] 为什么到这个时候
[00:00:07 -> 00:00:08] 你自己要做应用
[00:00:08 -> 00:00:10] 我们做AI
[00:00:10 -> 00:00:11] 不是拿着锤子找钉子
[00:00:11 -> 00:00:13] 这也是我们公司特别的地方
[00:00:13 -> 00:00:15] 是什么原因让你认为
[00:00:15 -> 00:00:17] 会有一个未来是
[00:00:17 -> 00:00:18] 人人都要做3D呢
[00:00:18 -> 00:00:21] 就这个数字其实还是蛮非共识的
[00:00:21 -> 00:00:23] 因为我们现在之所以看短视频
[00:00:23 -> 00:00:24] 而不是看3D的东西
[00:00:24 -> 00:00:25] 还是因为今天
[00:00:25 -> 00:00:26] 技术所限 带宽所限
[00:00:26 -> 00:00:28] 设备的运算能力所限
[00:00:28 -> 00:00:29] 所以我们仍然在压缩这个世界
[00:00:29 -> 00:00:31] 没有一个伟大的公司
[00:00:31 -> 00:00:32] 是诞生在一个
[00:00:32 -> 00:00:34] 资本市场极度好的时候
[00:00:34 -> 00:00:36] 所以说它是一个合理的
[00:00:36 -> 00:00:39] 保持你饥饿的这么一个环境
[00:00:39 -> 00:00:39] 大家好
[00:00:39 -> 00:00:41] 欢迎来到这一期的十字路口
[00:00:41 -> 00:00:43] 本期我们的嘉宾
[00:00:43 -> 00:00:44] 是一位年轻的创业者
[00:00:44 -> 00:00:46] 3D大模型研发公司
[00:00:46 -> 00:00:49] Vast的创始人宋亚成Simon
[00:00:49 -> 00:00:51] 8月底Vast发布了
[00:00:51 -> 00:00:55] 他们的最新的3D大模型Triple 3.0
[00:00:55 -> 00:00:56] 今天我们会邀请Simon
[00:00:56 -> 00:00:57] 来和我们聊一聊
[00:00:57 -> 00:00:59] 3D大模型研发的故事
[00:00:59 -> 00:01:02] 和他创业这两年来的一些思考
[00:01:02 -> 00:01:03] 那我们先来进行
[00:01:03 -> 00:01:05] 快问快答的环节
[00:01:05 -> 00:01:07] 请Simon来回答一下年龄
[00:01:07 -> 00:01:08] 年龄28
[00:01:08 -> 00:01:10] 毕业院校
[00:01:10 -> 00:01:13] 约翰霍普金斯大学的本科
[00:01:13 -> 00:01:16] 你的MBTI和星座
[00:01:16 -> 00:01:20] 我是ESTP好像是
[00:01:20 -> 00:01:23] 然后双鱼座
[00:01:23 -> 00:01:24] 用一句话介绍
[00:01:24 -> 00:01:26] 现在的公司和产品
[00:01:26 -> 00:01:28] 公司叫Vast
[00:01:28 -> 00:01:29] 是一家做
[00:01:29 -> 00:01:32] 3D大模型的公司
[00:01:32 -> 00:01:35] 我们有一个产品叫做Triple
[00:01:35 -> 00:01:37] 能力也非常简单
[00:01:37 -> 00:01:40] 就可以用文字或者图片
[00:01:40 -> 00:01:41] 或者多图等等
[00:01:41 -> 00:01:43] 多模态的方式进行输入
[00:01:43 -> 00:01:45] 它能给你输出一个
[00:01:45 -> 00:01:47] 你想要的完整的3D内容
[00:01:47 -> 00:01:48] 融资情况
[00:01:48 -> 00:01:50] 融资情况之前融了三轮
[00:01:50 -> 00:01:52] 然后每一轮大概都在
[00:01:52 -> 00:01:54] 几千万美金左右
[00:01:54 -> 00:01:55] 目前的收入和利润
[00:01:55 -> 00:01:58] 哇这个非常的sharp
[00:01:58 -> 00:01:59] 不知道让不让说啊
[00:01:59 -> 00:02:00] 团队规模
[00:02:00 -> 00:02:04] 我们加在一起有个110多号人吧
[00:02:04 -> 00:02:05] 创业之前你在做什么
[00:02:05 -> 00:02:08] 创业之前也在创业
[00:02:08 -> 00:02:12] 最早在商汤
[00:02:12 -> 00:02:15] 就是做了一段时间
[00:02:15 -> 00:02:16] AI加动画
[00:02:16 -> 00:02:18] 然后还有AI加游戏
[00:02:18 -> 00:02:20] 然后21年的时候
[00:02:20 -> 00:02:23] 参与创业的minimax
[00:02:23 -> 00:02:25] 然后23年的时候做了Vast
