[00:00:00] 好的,感谢本次大会,感谢主持人的介绍。我是侯仲。今天想跟大家带来的一个分享就是AI 传统产业,从项目提效、团队提效到研发组织进化的实战之路。
[00:00:16] 在整体开始演讲之前,我先想跟大家讲一讲就是为什么我会把这个作为其中的一个选题。
[00:00:23] 我们其实作为一个产业团队,我们一向就是来解决业务上的重复性劳动,将重复性劳动内化成为一个具体的产品功能,形成自动化的。
[00:00:34] 但在传统的过程中,因为我们只能处理一些机构化的数据,所以我们一向只是去做提效,而无法去逐渐的结构。
[00:00:43] 那在这块我们其实做的这个项目里面,我就会分几个步骤。
[00:00:47] 先看说在具体我们的产业团队中,以一个项目的形式,
[00:00:52] 如何把我们个人提效或者团队提效的这个场景打出来,它能提效多少。
[00:00:58] 紧接着呢,我们再去把这个成果呢,去规模化,让我们几个团队的所有成员都可以实现这个提效。
[00:01:06] 在往后呢,未来的一个展望也是我们当前跟他做的事情。
[00:01:10] 既然我们作为产业团队中的业务专家,就是产品和研发,可以自己设计套方案,给我们提效。
[00:01:18] 那我们是不是还要更广义的事情,是可以在业务上,
[00:01:22] 直接去互动大街化和全面提效的呢?
[00:01:24] 答案是是的,这是我们未来的展望,给我们当前已经做出了一些成果的事情。
[00:01:29] 那么下面,我就开始整体的一个今天的分享。
[00:01:33] 先做,简单做一下我个人的自我介绍。
[00:01:37] 我目前是这个运营研发负责人。
[00:01:40] 我主要负责的方向呢,比如说有这个活动啊,运营啊,客服,封控,反作弊,治理审核等等这一整套。
[00:01:48] 那其中呢,就包括我做的最多的一些事情呢,我就有两个事儿。
[00:01:53] 第一个是自动化和智能化,让整个企业完成数字化转型和智能化转型。
[00:01:59] 这就是我们在做的事情。
[00:02:01] 那下面我会以这样的一个形式,来跟大家逐一分享,
[00:02:06] 我在今年前半年到周期的八月份做出的成果,
[00:02:10] 以及未来展望我们头八月到明年整个一整年,
[00:02:14] 以及未来三年我们会形成什么样的,以及我们后面发展方向是什么。
[00:02:19] 那其中包括怎么把项目做得做成,怎么把团队做成,
[00:02:22] 怎么逐渐的去让这些事情得到落地,然后最后前提和未来怎么发展。
[00:02:28] 我会用五个方面。
[00:02:30] 第一方面呢就是破局,然后介绍一下项目背景。
[00:02:34] 第二个呢是找一个具体的项目实践经验。
[00:02:37] 第三块呢就是扩展到整个团队的一个经验,
[00:02:41] 逐渐的规模化,我们去在团队里推和落地。
[00:02:44] 第四块呢就是描述一下,包括看到我们当前的这个方法论事实呢,
[00:02:50] 它为什么能成功。
[00:02:51] 最后呢,我们向未来的展望,向未开始正式的分析。
