# 【十字路口】开源出发，也能干到 6 亿美金估值 | 对谈星爵: Zilliz 创始人/CEO【视频播客】
# BV: BV1kMbKzVEFn | UP: Koji杨远骋at十字路口 | 时长: 2667s | 语种: zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: ➤ 本周「十字路口」的嘉宾，是 Zilliz 创始人兼 CEO 星爵。Zilliz 是世界领先的向量数据库企业，估值 6 亿美金。
在 2023 年 GTC 大会上，Zilliz 被黄仁勋点名推荐，作为 AI 大模型基础设施，向量数据库一夜之间成为所有人关注焦点。
➤ 星爵在年初一篇访谈里说：“我们没有对手”，霸气侧漏。
但 Zilliz 不是横空出世的。2018 年，他就开始做 Zilliz，目标是构建处理非结构化数据的基础设施。
Zilliz 一直坚定走开源路线。在本期播客中，星爵和我们分享了他为什么要开源、开源好在哪里、坑在哪里，以及最重要的：开源要怎么赚钱？
本期内容同样适合所有技术背景的创业者。星爵分享了自己从工程师蜕变为 CEO 的历程：
▌在变得更现实，更懂博弈之后，发现自己的核心竞争力仍构建在“技术世界需要理想主义”之上。
—
➤ 嘉宾介绍：星爵，Zilliz 创始人兼 C

[00:00:00 -> 00:00:02] 当时有一个很霸气的标题叫做
[00:00:02 -> 00:00:03] 我们没有对手
[00:00:03 -> 00:00:05] 这里面更加多的是那种
[00:00:05 -> 00:00:07] 有耐心的去打磨产品
[00:00:07 -> 00:00:10] 然后每一天每一年的这种复利去叠加
[00:00:10 -> 00:00:13] 所以的话特征向量这种数据类型
[00:00:13 -> 00:00:15] 在过去的五六年里面
[00:00:15 -> 00:00:18] 随着AI的兴起的话就引来了一个大的爆发
[00:00:18 -> 00:00:20] 本周十字路口的嘉宾星爵
[00:00:20 -> 00:00:24] 是向量数据库Z-List的创始人和CEO
[00:00:24 -> 00:00:25] 我第一次听说Z-List
[00:00:25 -> 00:00:29] 是在2023年的英伟达GTC大会上
[00:00:29 -> 00:00:32] 当时黄仁勋点名推荐了这家公司
[00:00:32 -> 00:00:33] 让我印象深刻
[00:00:33 -> 00:00:36] 因为这也是一家中国人创办的公司
[00:00:36 -> 00:00:38] 那真正让我对星爵产生好奇的
[00:00:38 -> 00:00:41] 其实是两个月前归星人的一篇访谈
[00:00:41 -> 00:00:43] 当时有一个很霸气的标题叫做
[00:00:43 -> 00:00:45] 我们没有对手
[00:00:45 -> 00:00:47] 那我看到这个标题心想
[00:00:47 -> 00:00:48] 哇哦这谁啊
[00:00:48 -> 00:00:50] 如此的嚣张
[00:00:50 -> 00:00:52] 因为在商业的世界里面
[00:00:52 -> 00:00:55] 如此断言式的宣言真的很少见
[00:00:55 -> 00:00:56] 那我想一定是这位创始人
[00:00:56 -> 00:00:58] 他有极强的信念感
[00:00:58 -> 00:00:59] 或者他们的产品
[00:00:59 -> 00:01:01] 有什么样的独到的优势
[00:01:01 -> 00:01:04] 才让他做出这样的宣言
[00:01:04 -> 00:01:06] 因此在我对Z-List
[00:01:06 -> 00:01:08] 在对星爵有了更多的了解之后
[00:01:08 -> 00:01:10] 我发现这确实是一家蛮有实力
[00:01:10 -> 00:01:12] 同时也很有故事的公司
[00:01:12 -> 00:01:14] 所以今天我们邀请到了星爵
[00:01:14 -> 00:01:16] 也感谢他来到我们在上海
[00:01:16 -> 00:01:18] 发起的这座AI Hacker House
[00:01:18 -> 00:01:20] 我们一起在线下录制的这一期播客
[00:01:20 -> 00:01:22] 那这也是十字路口
[00:01:22 -> 00:01:24] 第一次尝试录视频播客
[00:01:24 -> 00:01:26] 我们的视频播客随后会发布在
[00:01:26 -> 00:01:28] 我的小红书B站视频号
[00:01:28 -> 00:01:30] 按照十字路口的惯例
[00:01:30 -> 00:01:33] 我们会先和星爵来一场快问快答
[00:01:33 -> 00:01:34] 你的毕业院校
[00:01:34 -> 00:01:36] 华中科技大学
[00:01:36 -> 00:01:38] 华中科大的人才好多
[00:01:38 -> 00:01:41] Z-List创业几年了
[00:01:41 -> 00:01:42] 到现在为止八年
[00:01:42 -> 00:01:45] 那在创业前你做过些什么
[00:01:45 -> 00:01:46] 做过一件事情
[00:01:46 -> 00:01:47] 数据库工程师
[00:01:47 -> 00:01:49] 你的MBTI和星座
[00:01:49 -> 00:01:50] ENTP
[00:01:50 -> 00:01:52] 星座是天蝎
[00:01:52 -> 00:01:55] 可以一句话介绍一下公司和产品
[00:01:55 -> 00:01:58] 我们是一家AI时代的数据infra的公司
[00:01:58 -> 00:02:02] 我们是要打造一个在AI时代里面
[00:02:02 -> 00:02:04] 为非结构化数据构建的数据平台
[00:02:04 -> 00:02:07] 然后你们现在的收入和利润方面讲的
[00:02:07 -> 00:02:10] 具体的数字我这里就不提了
[00:02:10 -> 00:02:12] 但是在过去的12个月里面的话
[00:02:12 -> 00:02:15] 我们的营收增长了3.3倍
[00:02:15 -> 00:02:15] 哦
[00:02:15 -> 00:02:16] 哇
[00:02:16 -> 00:02:18] 12个月增长3.3倍
[00:02:18 -> 00:02:19] 目前团队的规模
[00:02:19 -> 00:02:21] 目前团队的规模
[00:02:21 -> 00:02:24] 我们大概全球有130个人左右
[00:02:24 -> 00:02:25] 像刚才一开始提到
[00:02:25 -> 00:02:27] 就是英伟达的创始人
[00:02:27 -> 00:02:28] 黄仁勋
[00:02:28 -> 00:02:28] 在GPCR
[00:02:28 -> 00:02:32] 2023年大会上直接提到了Z-List
[00:02:32 -> 00:02:34] 有一种点名推荐的意思
[00:02:34 -> 00:02:37] 当时这个高光时刻发生的时候
[00:02:37 -> 00:02:38] 你的心情是什么
