# 【十字路口】对话 MiniMax 闫俊杰：M3、10X 计划、10T 模型、和智能的终局【视频播客】
# BV: BV1VGjh6WEf9 | UP: Koji杨远骋at十字路口 | 时长: 2283s | 语种: zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: ➤ 本周的「十字路口」在 MiniMax Dev Meetup 现场录制，Koji 对谈MiniMax CEO 闫俊杰（IO）、Multica 创始人张佳圆、DeerFlow 核心负责人何涛，以及金融行业 AI 负责人虞扬。

我们围绕 AI Coding、Agent 与工程化落地的下一阶段展开。这期重点是闫俊杰 IO 的分享——也是他最近少有的公开露面：

1. M3 的关键突破和评价
2. 对训练 10T 规模大模型的决心与路径
3. 中美模型差距的真实尺度
4. 模型的数据观转向，与推出 10X 专家合作项目的缘由
5. AI Coding 迎来拐点：工程体系 vs 次抛代码
6. “基模 vs Agent”到底是什么关系？
7. MiniMax 下一阶段如何下注与取舍？

其他三位嘉宾也从各自视角分享了很有趣的观点：张佳圆分享了多模型/多 Agent 的组合思路来平衡成本与质量；何

[00:00:00 -> 00:00:01] 那我们今天圆桌的名字
[00:00:01 -> 00:00:03] 我发现主办方没有叫它圆桌论坛
[00:00:03 -> 00:00:05] 叫它圆桌交锋
[00:00:05 -> 00:00:08] 对我就感觉这个有点压力
[00:00:08 -> 00:00:08] 又是这样的
[00:00:08 -> 00:00:10] 没有交锋起来
[00:00:10 -> 00:00:11] 就有点迷惑腹食
[00:00:11 -> 00:00:12] 好感动
[00:00:12 -> 00:00:14] 对然后我其实自己啊
[00:00:14 -> 00:00:16] 是有点这个surprise的
[00:00:16 -> 00:00:17] 一看说IO也会来
[00:00:17 -> 00:00:18] 而且分享了那么多
[00:00:18 -> 00:00:20] 所以今天这个想问IO的
[00:00:20 -> 00:00:21] 第一个问题也是
[00:00:21 -> 00:00:23] 就是这个活动
[00:00:23 -> 00:00:25] 为什么对你来说这么重要
[00:00:25 -> 00:00:28] 你自己花那么多时间来参与
[00:00:28 -> 00:00:29] 其实我们这个主要是感谢
[00:00:29 -> 00:00:31] 各位然后花时间起来
[00:00:31 -> 00:00:33] 这个分享包括那个何涛
[00:00:33 -> 00:00:34] 何涛其实坦白说是
[00:00:34 -> 00:00:35] 他是一个非常好的
[00:00:35 -> 00:00:37] 开源项目的这个作者
[00:00:37 -> 00:00:38] 他们那个应该是那个
[00:00:38 -> 00:00:39] 七万
[00:00:39 -> 00:00:40] 对七万
[00:00:40 -> 00:00:41] 就包括嘉远
[00:00:41 -> 00:00:42] 嘉远的话其实那个
[00:00:42 -> 00:00:43] 很早之前就其实给我们
[00:00:43 -> 00:00:45] 提了很多的建议帮助
[00:00:45 -> 00:00:46] 对其实何先生还是
[00:00:46 -> 00:00:48] 感谢大家了
[00:00:48 -> 00:00:49] 就是说那个
[00:00:49 -> 00:00:50] 就刚才说了
[00:00:50 -> 00:00:51] 其实你也是我们第一次来
[00:00:51 -> 00:00:52] 办这个活动
[00:00:52 -> 00:00:54] 我们觉得就是
[00:00:54 -> 00:00:55] AI编程或者是AI人
[00:00:55 -> 00:00:56] 它其实不会让
[00:00:56 -> 00:00:57] 从业者越来越少
[00:00:57 -> 00:00:58] 就比如说可能在两年前
[00:00:58 -> 00:00:59] 当时
[00:00:59 -> 00:01:00] 我记得我曾经问过
[00:01:00 -> 00:01:02] 六万家公司的一个人
[00:01:02 -> 00:01:04] 实际上我当时问过梁峰说
[00:01:04 -> 00:01:05] 你们要不要做AI coding
[00:01:05 -> 00:01:06] 他说不做
[00:01:06 -> 00:01:06] 为什么呢
[00:01:06 -> 00:01:08] 因为全中国会写大码的人
